EVENT_BEAT_AGATHAS_ROOM_TRAINER_0	AGATHAS_ROOM
EVENT_BEAT_ROCKET_HIDEOUT_4_TRAINER_1	ROCKET_HIDEOUT_B4F
EVENT_BEAT_ROCKET_HIDEOUT_4_TRAINER_2	ROCKET_HIDEOUT_B4F
EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_0	ROCK_TUNNEL_1F
EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_1	ROCK_TUNNEL_1F
EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_2	ROCK_TUNNEL_1F
EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_3	ROCK_TUNNEL_1F
EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_4	ROCK_TUNNEL_1F
EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_5	ROCK_TUNNEL_1F
EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_6	ROCK_TUNNEL_1F
EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_0	ROCK_TUNNEL_B1F
EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_1	ROCK_TUNNEL_B1F
EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_2	ROCK_TUNNEL_B1F
EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_3	ROCK_TUNNEL_B1F
EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_4	ROCK_TUNNEL_B1F
EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_5	ROCK_TUNNEL_B1F
EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_6	ROCK_TUNNEL_B1F
EVENT_BEAT_ROCK_TUNNEL_2_TRAINER_7	ROCK_TUNNEL_B1F
EVENT_BEAT_ROUTE_10_TRAINER_0	ROUTE_10
EVENT_BEAT_ROUTE_10_TRAINER_1	ROUTE_10
EVENT_BEAT_ROUTE_10_TRAINER_2	ROUTE_10
EVENT_BEAT_ROUTE_10_TRAINER_3	ROUTE_10
EVENT_BEAT_ROUTE_10_TRAINER_4	ROUTE_10
EVENT_BEAT_ROUTE_10_TRAINER_5	ROUTE_10
EVENT_BEAT_ROUTE_11_TRAINER_0	ROUTE_11
EVENT_BEAT_ROUTE_11_TRAINER_1	ROUTE_11
EVENT_BEAT_ROUTE_11_TRAINER_2	ROUTE_11
EVENT_BEAT_ROUTE_11_TRAINER_3	ROUTE_11
EVENT_BEAT_ROUTE_11_TRAINER_4	ROUTE_11
EVENT_BEAT_ROUTE_11_TRAINER_5	ROUTE_11
EVENT_BEAT_ROUTE_11_TRAINER_6	ROUTE_11
EVENT_BEAT_ROUTE_11_TRAINER_7	ROUTE_11
EVENT_BEAT_ROUTE_11_TRAINER_8	ROUTE_11
EVENT_BEAT_ROUTE_11_TRAINER_9	ROUTE_11
EVENT_BEAT_ROUTE_12_TRAINER_0	ROUTE_12
EVENT_BEAT_ROUTE_12_TRAINER_1	ROUTE_12
EVENT_BEAT_ROUTE_12_TRAINER_2	ROUTE_12
EVENT_BEAT_ROUTE_12_TRAINER_3	ROUTE_12
EVENT_BEAT_ROUTE_12_TRAINER_4	ROUTE_12
EVENT_BEAT_ROUTE_12_TRAINER_5	ROUTE_12
EVENT_BEAT_ROUTE_12_TRAINER_6	ROUTE_12
EVENT_BEAT_ROUTE_13_TRAINER_0	ROUTE_13
EVENT_BEAT_ROUTE_13_TRAINER_1	ROUTE_13
EVENT_BEAT_ROUTE_13_TRAINER_2	ROUTE_13
EVENT_BEAT_ROUTE_13_TRAINER_3	ROUTE_13
EVENT_BEAT_ROUTE_13_TRAINER_4	ROUTE_13
EVENT_BEAT_ROUTE_13_TRAINER_5	ROUTE_13
EVENT_BEAT_ROUTE_13_TRAINER_6	ROUTE_13
EVENT_BEAT_ROUTE_13_TRAINER_7	ROUTE_13
EVENT_BEAT_ROUTE_13_TRAINER_8	ROUTE_13
EVENT_BEAT_ROUTE_13_TRAINER_9	ROUTE_13
EVENT_BEAT_ROUTE_14_TRAINER_0	ROUTE_14
EVENT_BEAT_ROUTE_14_TRAINER_1	ROUTE_14
EVENT_BEAT_ROUTE_14_TRAINER_2	ROUTE_14
EVENT_BEAT_ROUTE_14_TRAINER_3	ROUTE_14
EVENT_BEAT_ROUTE_14_TRAINER_4	ROUTE_14
EVENT_BEAT_ROUTE_14_TRAINER_5	ROUTE_14
EVENT_BEAT_ROUTE_14_TRAINER_6	ROUTE_14
EVENT_BEAT_ROUTE_14_TRAINER_7	ROUTE_14
EVENT_BEAT_ROUTE_14_TRAINER_8	ROUTE_14
EVENT_BEAT_ROUTE_14_TRAINER_9	ROUTE_14
EVENT_BEAT_ROUTE_15_TRAINER_0	ROUTE_15
EVENT_BEAT_ROUTE_15_TRAINER_1	ROUTE_15
EVENT_BEAT_ROUTE_15_TRAINER_2	ROUTE_15
EVENT_BEAT_ROUTE_15_TRAINER_3	ROUTE_15
EVENT_BEAT_ROUTE_15_TRAINER_4	ROUTE_15
EVENT_BEAT_ROUTE_15_TRAINER_5	ROUTE_15
EVENT_BEAT_ROUTE_15_TRAINER_6	ROUTE_15
EVENT_BEAT_ROUTE_15_TRAINER_7	ROUTE_15
EVENT_BEAT_ROUTE_15_TRAINER_8	ROUTE_15
EVENT_BEAT_ROUTE_15_TRAINER_9	ROUTE_15
EVENT_BEAT_ROUTE_16_TRAINER_0	ROUTE_16
EVENT_BEAT_ROUTE_16_TRAINER_1	ROUTE_16
EVENT_BEAT_ROUTE_16_TRAINER_2	ROUTE_16
EVENT_BEAT_ROUTE_16_TRAINER_3	ROUTE_16
EVENT_BEAT_ROUTE_16_TRAINER_4	ROUTE_16
EVENT_BEAT_ROUTE_16_TRAINER_5	ROUTE_16
EVENT_BEAT_ROUTE_17_TRAINER_0	ROUTE_17
EVENT_BEAT_ROUTE_17_TRAINER_1	ROUTE_17
EVENT_BEAT_ROUTE_17_TRAINER_2	ROUTE_17
EVENT_BEAT_ROUTE_17_TRAINER_3	ROUTE_17
EVENT_BEAT_ROUTE_17_TRAINER_4	ROUTE_17
EVENT_BEAT_ROUTE_17_TRAINER_5	ROUTE_17
EVENT_BEAT_ROUTE_17_TRAINER_6	ROUTE_17
EVENT_BEAT_ROUTE_17_TRAINER_7	ROUTE_17
EVENT_BEAT_ROUTE_17_TRAINER_8	ROUTE_17
EVENT_BEAT_ROUTE_17_TRAINER_9	ROUTE_17
EVENT_BEAT_ROUTE_18_TRAINER_0	ROUTE_18
EVENT_BEAT_ROUTE_18_TRAINER_1	ROUTE_18
EVENT_BEAT_ROUTE_18_TRAINER_2	ROUTE_18
EVENT_BEAT_ROUTE_19_TRAINER_0	ROUTE_19
EVENT_BEAT_ROUTE_19_TRAINER_1	ROUTE_19
EVENT_BEAT_ROUTE_19_TRAINER_2	ROUTE_19
EVENT_BEAT_ROUTE_19_TRAINER_3	ROUTE_19
EVENT_BEAT_ROUTE_19_TRAINER_4	ROUTE_19
EVENT_BEAT_ROUTE_19_TRAINER_5	ROUTE_19
EVENT_BEAT_ROUTE_19_TRAINER_6	ROUTE_19
EVENT_BEAT_ROUTE_19_TRAINER_7	ROUTE_19
EVENT_BEAT_ROUTE_19_TRAINER_8	ROUTE_19
EVENT_BEAT_ROUTE_19_TRAINER_9	ROUTE_19
EVENT_BEAT_ROUTE_20_TRAINER_0	ROUTE_20
EVENT_BEAT_ROUTE_20_TRAINER_1	ROUTE_20
EVENT_BEAT_ROUTE_20_TRAINER_2	ROUTE_20
EVENT_BEAT_ROUTE_20_TRAINER_3	ROUTE_20
EVENT_BEAT_ROUTE_20_TRAINER_4	ROUTE_20
EVENT_BEAT_ROUTE_20_TRAINER_5	ROUTE_20
EVENT_BEAT_ROUTE_20_TRAINER_6	ROUTE_20
EVENT_BEAT_ROUTE_20_TRAINER_7	ROUTE_20
EVENT_BEAT_ROUTE_20_TRAINER_8	ROUTE_20
EVENT_BEAT_ROUTE_20_TRAINER_9	ROUTE_20
EVENT_BEAT_ROUTE_21_TRAINER_0	ROUTE_21
EVENT_BEAT_ROUTE_21_TRAINER_1	ROUTE_21
EVENT_BEAT_ROUTE_21_TRAINER_2	ROUTE_21
EVENT_BEAT_ROUTE_21_TRAINER_3	ROUTE_21
EVENT_BEAT_ROUTE_21_TRAINER_4	ROUTE_21
EVENT_BEAT_ROUTE_21_TRAINER_5	ROUTE_21
EVENT_BEAT_ROUTE_21_TRAINER_6	ROUTE_21
EVENT_BEAT_ROUTE_21_TRAINER_7	ROUTE_21
EVENT_BEAT_ROUTE_21_TRAINER_8	ROUTE_21
EVENT_BEAT_ROUTE_24_TRAINER_0	ROUTE_24
EVENT_BEAT_ROUTE_24_TRAINER_1	ROUTE_24
EVENT_BEAT_ROUTE_24_TRAINER_2	ROUTE_24
EVENT_BEAT_ROUTE_24_TRAINER_3	ROUTE_24
EVENT_BEAT_ROUTE_24_TRAINER_4	ROUTE_24
EVENT_BEAT_ROUTE_24_TRAINER_5	ROUTE_24
EVENT_BEAT_ROUTE_25_TRAINER_0	ROUTE_25
EVENT_BEAT_ROUTE_25_TRAINER_1	ROUTE_25
EVENT_BEAT_ROUTE_25_TRAINER_2	ROUTE_25
EVENT_BEAT_ROUTE_25_TRAINER_3	ROUTE_25
EVENT_BEAT_ROUTE_25_TRAINER_4	ROUTE_25
EVENT_BEAT_ROUTE_25_TRAINER_5	ROUTE_25
EVENT_BEAT_ROUTE_25_TRAINER_6	ROUTE_25
EVENT_BEAT_ROUTE_25_TRAINER_7	ROUTE_25
EVENT_BEAT_ROUTE_25_TRAINER_8	ROUTE_25
EVENT_BEAT_ROUTE_3_TRAINER_0	ROUTE_3
EVENT_BEAT_ROUTE_3_TRAINER_1	ROUTE_3
EVENT_BEAT_ROUTE_3_TRAINER_2	ROUTE_3
EVENT_BEAT_ROUTE_3_TRAINER_3	ROUTE_3
EVENT_BEAT_ROUTE_3_TRAINER_4	ROUTE_3
EVENT_BEAT_ROUTE_3_TRAINER_5	ROUTE_3
EVENT_BEAT_ROUTE_3_TRAINER_6	ROUTE_3
EVENT_BEAT_ROUTE_3_TRAINER_7	ROUTE_3
EVENT_BEAT_ROUTE_4_TRAINER_0	ROUTE_4
EVENT_BEAT_ROUTE_6_TRAINER_0	ROUTE_6
EVENT_BEAT_ROUTE_6_TRAINER_1	ROUTE_6
EVENT_BEAT_ROUTE_6_TRAINER_2	ROUTE_6
EVENT_BEAT_ROUTE_6_TRAINER_3	ROUTE_6
EVENT_BEAT_ROUTE_6_TRAINER_4	ROUTE_6
EVENT_BEAT_ROUTE_6_TRAINER_5	ROUTE_6
EVENT_BEAT_ROUTE_8_TRAINER_0	ROUTE_8
EVENT_BEAT_ROUTE_8_TRAINER_1	ROUTE_8
EVENT_BEAT_ROUTE_8_TRAINER_2	ROUTE_8
EVENT_BEAT_ROUTE_8_TRAINER_3	ROUTE_8
EVENT_BEAT_ROUTE_8_TRAINER_4	ROUTE_8
EVENT_BEAT_ROUTE_8_TRAINER_5	ROUTE_8
EVENT_BEAT_ROUTE_8_TRAINER_6	ROUTE_8
EVENT_BEAT_ROUTE_8_TRAINER_7	ROUTE_8
EVENT_BEAT_ROUTE_8_TRAINER_8	ROUTE_8
EVENT_BEAT_ROUTE_9_TRAINER_0	ROUTE_9
EVENT_BEAT_ROUTE_9_TRAINER_1	ROUTE_9
EVENT_BEAT_ROUTE_9_TRAINER_2	ROUTE_9
EVENT_BEAT_ROUTE_9_TRAINER_3	ROUTE_9
EVENT_BEAT_ROUTE_9_TRAINER_4	ROUTE_9
EVENT_BEAT_ROUTE_9_TRAINER_5	ROUTE_9
EVENT_BEAT_ROUTE_9_TRAINER_6	ROUTE_9
EVENT_BEAT_ROUTE_9_TRAINER_7	ROUTE_9
EVENT_BEAT_ROUTE_9_TRAINER_8	ROUTE_9
EVENT_BEAT_SAFFRON_GYM_TRAINER_0	SAFFRON_GYM
EVENT_BEAT_SAFFRON_GYM_TRAINER_1	SAFFRON_GYM
EVENT_BEAT_SAFFRON_GYM_TRAINER_2	SAFFRON_GYM
EVENT_BEAT_SAFFRON_GYM_TRAINER_3	SAFFRON_GYM
EVENT_BEAT_SAFFRON_GYM_TRAINER_4	SAFFRON_GYM
EVENT_BEAT_SAFFRON_GYM_TRAINER_5	SAFFRON_GYM
EVENT_BEAT_SAFFRON_GYM_TRAINER_6	SAFFRON_GYM
EVENT_BEAT_SILPH_CO_10F_TRAINER_0	SILPH_CO_10F
EVENT_BEAT_SILPH_CO_10F_TRAINER_1	SILPH_CO_10F
EVENT_BEAT_SILPH_CO_11F_TRAINER_0	SILPH_CO_11F
EVENT_BEAT_SILPH_CO_11F_TRAINER_1	SILPH_CO_11F
EVENT_BEAT_SILPH_CO_2F_TRAINER_0	SILPH_CO_2F
EVENT_BEAT_SILPH_CO_2F_TRAINER_1	SILPH_CO_2F
EVENT_BEAT_SILPH_CO_2F_TRAINER_2	SILPH_CO_2F
EVENT_BEAT_SILPH_CO_2F_TRAINER_3	SILPH_CO_2F
EVENT_BEAT_SILPH_CO_3F_TRAINER_0	SILPH_CO_3F
EVENT_BEAT_SILPH_CO_3F_TRAINER_1	SILPH_CO_3F
EVENT_BEAT_SILPH_CO_4F_TRAINER_0	SILPH_CO_4F
EVENT_BEAT_SILPH_CO_4F_TRAINER_1	SILPH_CO_4F
EVENT_BEAT_SILPH_CO_4F_TRAINER_2	SILPH_CO_4F
EVENT_BEAT_SILPH_CO_5F_TRAINER_0	SILPH_CO_5F
EVENT_BEAT_SILPH_CO_5F_TRAINER_1	SILPH_CO_5F
EVENT_BEAT_SILPH_CO_5F_TRAINER_2	SILPH_CO_5F
EVENT_BEAT_SILPH_CO_5F_TRAINER_3	SILPH_CO_5F
EVENT_BEAT_SILPH_CO_6F_TRAINER_0	SILPH_CO_6F
EVENT_BEAT_SILPH_CO_6F_TRAINER_1	SILPH_CO_6F
EVENT_BEAT_SILPH_CO_6F_TRAINER_2	SILPH_CO_6F
EVENT_BEAT_SILPH_CO_7F_TRAINER_0	SILPH_CO_7F
EVENT_BEAT_SILPH_CO_7F_TRAINER_1	SILPH_CO_7F
EVENT_BEAT_SILPH_CO_7F_TRAINER_2	SILPH_CO_7F
EVENT_BEAT_SILPH_CO_7F_TRAINER_3	SILPH_CO_7F
EVENT_BEAT_SILPH_CO_8F_TRAINER_0	SILPH_CO_8F
EVENT_BEAT_SILPH_CO_8F_TRAINER_1	SILPH_CO_8F
EVENT_BEAT_SILPH_CO_8F_TRAINER_2	SILPH_CO_8F
EVENT_BEAT_SILPH_CO_9F_TRAINER_0	SILPH_CO_9F
EVENT_BEAT_SILPH_CO_9F_TRAINER_1	SILPH_CO_9F
EVENT_BEAT_SILPH_CO_9F_TRAINER_2	SILPH_CO_9F
EVENT_BEAT_SS_ANNE_10_TRAINER_0	SS_ANNE_B1F_ROOMS
EVENT_BEAT_SS_ANNE_10_TRAINER_1	SS_ANNE_B1F_ROOMS
EVENT_BEAT_SS_ANNE_10_TRAINER_2	SS_ANNE_B1F_ROOMS
EVENT_BEAT_SS_ANNE_10_TRAINER_3	SS_ANNE_B1F_ROOMS
EVENT_BEAT_SS_ANNE_10_TRAINER_4	SS_ANNE_B1F_ROOMS
EVENT_BEAT_SS_ANNE_10_TRAINER_5	SS_ANNE_B1F_ROOMS
EVENT_BEAT_SS_ANNE_5_TRAINER_0	SS_ANNE_BOW
EVENT_BEAT_SS_ANNE_5_TRAINER_1	SS_ANNE_BOW
EVENT_BEAT_SS_ANNE_8_TRAINER_0	SS_ANNE_1F_ROOMS
EVENT_BEAT_SS_ANNE_8_TRAINER_1	SS_ANNE_1F_ROOMS
EVENT_BEAT_SS_ANNE_8_TRAINER_2	SS_ANNE_1F_ROOMS
EVENT_BEAT_SS_ANNE_8_TRAINER_3	SS_ANNE_1F_ROOMS
EVENT_BEAT_SS_ANNE_9_TRAINER_0	SS_ANNE_2F_ROOMS
EVENT_BEAT_SS_ANNE_9_TRAINER_1	SS_ANNE_2F_ROOMS
EVENT_BEAT_SS_ANNE_9_TRAINER_2	SS_ANNE_2F_ROOMS
EVENT_BEAT_SS_ANNE_9_TRAINER_3	SS_ANNE_2F_ROOMS
EVENT_BEAT_VERMILION_GYM_TRAINER_0	VERMILION_GYM
EVENT_BEAT_VERMILION_GYM_TRAINER_1	VERMILION_GYM
EVENT_BEAT_VERMILION_GYM_TRAINER_2	VERMILION_GYM
EVENT_BEAT_VICTORY_ROAD_1_TRAINER_0	VICTORY_ROAD_1F
EVENT_BEAT_VICTORY_ROAD_1_TRAINER_1	VICTORY_ROAD_1F
EVENT_BEAT_VICTORY_ROAD_2_TRAINER_0	VICTORY_ROAD_2F
EVENT_BEAT_VICTORY_ROAD_2_TRAINER_1	VICTORY_ROAD_2F
EVENT_BEAT_VICTORY_ROAD_2_TRAINER_2	VICTORY_ROAD_2F
EVENT_BEAT_VICTORY_ROAD_2_TRAINER_3	VICTORY_ROAD_2F
EVENT_BEAT_VICTORY_ROAD_2_TRAINER_4	VICTORY_ROAD_2F
EVENT_BEAT_VICTORY_ROAD_3_TRAINER_0	VICTORY_ROAD_3F
EVENT_BEAT_VICTORY_ROAD_3_TRAINER_1	VICTORY_ROAD_3F
EVENT_BEAT_VICTORY_ROAD_3_TRAINER_2	VICTORY_ROAD_3F
EVENT_BEAT_VICTORY_ROAD_3_TRAINER_3	VICTORY_ROAD_3F
EVENT_BEAT_VIRIDIAN_FOREST_TRAINER_0	VIRIDIAN_FOREST
EVENT_BEAT_VIRIDIAN_FOREST_TRAINER_1	VIRIDIAN_FOREST
EVENT_BEAT_VIRIDIAN_FOREST_TRAINER_2	VIRIDIAN_FOREST
EVENT_BEAT_VIRIDIAN_GYM_TRAINER_0	VIRIDIAN_GYM
EVENT_BEAT_VIRIDIAN_GYM_TRAINER_1	VIRIDIAN_GYM
EVENT_BEAT_VIRIDIAN_GYM_TRAINER_2	VIRIDIAN_GYM
EVENT_BEAT_VIRIDIAN_GYM_TRAINER_3	VIRIDIAN_GYM
EVENT_BEAT_VIRIDIAN_GYM_TRAINER_4	VIRIDIAN_GYM
EVENT_BEAT_VIRIDIAN_GYM_TRAINER_5	VIRIDIAN_GYM
EVENT_BEAT_VIRIDIAN_GYM_TRAINER_6	VIRIDIAN_GYM
EVENT_BEAT_VIRIDIAN_GYM_TRAINER_7	VIRIDIAN_GYM
EVENT_BEAT_ZAPDOS	POWER_PLANT
